"premium","picture","title","url"
"True","True","L’ébouriffante campagne de l’activiste Lumir Lapray","https://www.mediapart.fr/journal/france/100622/l-ebouriffante-campagne-de-l-activiste-lumir-lapray"
"True","True","Campagne des législatives : Mediapart fait le bilan","https://www.mediapart.fr/journal/france/090622/campagne-des-legislatives-mediapart-fait-le-bilan"
"True","True","Législatives : à Villeurbanne, l’Insoumis Gabriel Amard, parachuté chahuté","https://www.mediapart.fr/journal/france/100622/legislatives-villeurbanne-l-insoumis-gabriel-amard-parachute-chahute"
"True","False","L’affaire Abad ne bouscule pas la campagne du ministre des solidarités","https://www.mediapart.fr/journal/france/100622/l-affaire-abad-ne-bouscule-pas-la-campagne-du-ministre-des-solidarites"
"True","False","À Limoges, la méthode Ruffin fait son chemin","https://www.mediapart.fr/journal/france/090622/limoges-la-methode-ruffin-fait-son-chemin"
"True","False","Manuel Bompard, en campagne dans les pas de Jean-Luc Mélenchon","https://www.mediapart.fr/journal/france/090622/manuel-bompard-en-campagne-dans-les-pas-de-jean-luc-melenchon"
"True","False","La campagne ratée du Rassemblement national","https://www.mediapart.fr/journal/france/090622/legislatives-la-campagne-ratee-du-rassemblement-national"
"True","False","La fin d’un procès qui s’est voulu aussi « normal » que possible","https://www.mediapart.fr/journal/france/100622/attentats-du-13-novembre-la-fin-d-un-proces-qui-s-est-voulu-aussi-normal-que-possible"
"True","True","Affaire Romain Dupuy : l’internement à vie divise les magistrats","https://www.mediapart.fr/journal/france/100622/affaire-romain-dupuy-l-internement-vie-divise-les-magistrats"
"True","False","« Violences policières » : ces deux mots que le PS ne veut plus prononcer","https://www.mediapart.fr/journal/france/090622/violences-policieres-ces-mots-que-le-ps-ne-veut-plus-prononcer"
"True","True","Refus d’obtempérer et passagère tuée : le conducteur mis en examen","https://www.mediapart.fr/journal/france/090622/refus-d-obtemperer-et-passagere-tuee-le-conducteur-de-la-voiture-ete-mis-en-examen"
"True","True","Stade de France : le préfet Lallement s’entête, malgré la colère froide de Liverpool","https://www.mediapart.fr/journal/france/090622/stade-de-france-le-prefet-lallement-s-entete-malgre-la-colere-froide-de-liverpool"
"True","True","La France cède aux sirènes de la cryptomonnaie et accueille le sulfureux Binance à bras ouverts","https://www.mediapart.fr/journal/economie/100622/la-france-cede-aux-sirenes-de-la-cryptomonnaie-et-accueille-le-sulfureux-binance-bras-ouverts"
"True","False","Nucléaire : EDF est visée par une information judiciaire après des incidents de sûreté","https://www.mediapart.fr/journal/france/090622/nucleaire-edf-est-visee-par-une-information-judiciaire-apres-des-incidents-de-surete"
"True","False","« Viol du 36 » : la justice refuse un pourvoi","https://www.mediapart.fr/journal/france/090622/viol-du-36-la-justice-refuse-un-pourvoi"
"True","True","Haïti : « La France est empêtrée dans l’histoire coloniale »","https://www.mediapart.fr/journal/international/090622/haiti-la-france-est-empetree-dans-l-histoire-coloniale"
"True","False","L’histoire sombre des banques coloniales françaises ressurgit","https://www.mediapart.fr/journal/economie/090622/haiti-l-histoire-sombre-des-banques-coloniales-francaises-ressurgit"
"True","True","États-Unis : la menace sur l’IVG pèse beaucoup sur les femmes noires","https://www.mediapart.fr/journal/international/090622/etats-unis-la-menace-sur-l-ivg-pese-beaucoup-sur-les-femmes-noires"
"True","False","Sahara occidental : Alger sanctionne Madrid, Sánchez isolé en Espagne","https://www.mediapart.fr/journal/international/090622/sahara-occidental-alger-sanctionne-madrid-sanchez-isole-en-espagne"
"True","True","Olivier Faure : « Le PS n’est pas l’ami du grand capital, Mélenchon n’est pas l’ami des dictateurs »","https://www.mediapart.fr/journal/france/080622/olivier-faure-le-ps-n-est-pas-l-ami-du-grand-capital-melenchon-n-est-pas-l-ami-des-dictateurs"
"True","True","Trafic d’art : l’heure des comptes pour les États et les musées","https://www.mediapart.fr/journal/france/070622/trafic-d-art-l-heure-des-comptes-pour-les-etats-et-les-musees"
"True","True","« On invite tous les Français à entrer en résistance civile »","https://www.mediapart.fr/journal/france/070622/invite-tous-les-francais-entrer-en-resistance-civile"
"True","True","En Occitanie, l’acquisition de deux fermes par l’armée sème le trouble sur l’avenir de terres agricoles","https://www.mediapart.fr/journal/france/080622/en-occitanie-l-acquisition-de-deux-fermes-par-l-armee-seme-le-trouble-sur-l-avenir-de-terres-agricoles"
"True","False","Au Parlement européen, l’offensive anti-climat du lobby industriel","https://www.mediapart.fr/journal/international/080622/au-parlement-europeen-l-offensive-anti-climat-du-lobby-industriel"
"True","False","Pêche durable : la France assume désobéir aux règles européennes","https://www.mediapart.fr/journal/international/080622/peche-durable-la-france-assume-desobeir-aux-regles-europeennes"
"True","True","Candidature de Gérald Dahan : le sketch continue","https://www.mediapart.fr/journal/france/080622/candidature-de-gerald-dahan-aux-legislatives-le-sketch-continue"
"True","False","Le député Simian s’en prend désormais à la préfecture de la Gironde","https://www.mediapart.fr/journal/france/080622/le-depute-simian-s-en-prend-desormais-la-prefecture-de-la-gironde"
"True","False","Un droit de réponse de Gérald Dahan","https://www.mediapart.fr/journal/france/090622/un-droit-de-reponse-de-gerald-dahan"
"True","False","Un député LREM ruine une collectivité rurale ? Il est réinvesti","https://www.mediapart.fr/journal/france/070622/un-depute-lrem-ruine-une-collectivite-rurale-il-est-reinvesti"
"True","True","Face à l’inflation, la majorité présidentielle cherche un récit convaincant","https://www.mediapart.fr/journal/economie/080622/face-l-inflation-la-majorite-presidentielle-cherche-un-recit-convaincant"
"True","False","Aide alimentaire : le chèque en bois du gouvernement","https://www.mediapart.fr/journal/france/080622/aide-alimentaire-le-cheque-en-bois-du-gouvernement"
"True","False","« Lorsque l’huile prend 30 % ou 40 %, les personnes les plus précaires souffrent »","https://www.mediapart.fr/journal/france/070622/lorsque-l-huile-prend-30-ou-40-les-personnes-les-plus-precaires-souffrent"
"True","True","Épisode 2 Violences, noyade, tentative de suicide : à Nice, la descente aux enfers du Foyer de l’enfance","https://www.mediapart.fr/journal/france/080622/violences-noyade-tentative-de-suicide-nice-la-descente-aux-enfers-du-foyer-de-l-enfance"
