"premium","picture","title","url"
"True","True","En direct. En Guyane, les forces de gauche s’imposent","https://www.mediapart.fr/journal/france/120622/en-direct-le-premier-tour-des-elections-legislatives"
"True","True","Campagne des législatives : Mediapart fait le bilan","https://www.mediapart.fr/journal/france/090622/campagne-des-legislatives-mediapart-fait-le-bilan"
"True","False","Comment la Nupes a imposé un duel à Macron","https://www.mediapart.fr/journal/france/110622/comment-la-nupes-impose-un-duel-macron"
"True","False","La majorité en plein doute","https://www.mediapart.fr/journal/france/110622/apres-une-campagne-manquee-la-majorite-en-plein-doute"
"True","False","AU RN, une campagne ratée","https://www.mediapart.fr/journal/france/090622/legislatives-la-campagne-ratee-du-rassemblement-national"
"True","True","« L’esprit critique » : autour des films « Men », « La terre est bleue comme une orange » et la série « Oussekine »","https://www.mediapart.fr/journal/culture-idees/120622/l-esprit-critique-autour-des-films-men-la-terre-est-bleue-comme-une-orange-et-la-serie-oussekine"
"True","False","Meurtre de Yasemin Cetindag : la faillite de la justice","https://www.mediapart.fr/journal/france/120622/meurtre-de-yasemin-cetindag-la-faillite-de-la-justice"
"True","False","Israël : depuis un an, Bennett fait du Netanyahou sans Netanyahou","https://www.mediapart.fr/journal/international/120622/israel-depuis-un-bennett-fait-du-netanyahou-sans-netanyahou"
"True","True","Des mosquées discriminées par des banquiers zélés, Darmanin s’exonère de toute responsabilité","https://www.mediapart.fr/journal/france/120622/des-mosquees-discriminees-par-des-banquiers-zeles-darmanin-s-exonere-de-toute-responsabilite"
"True","True","« Big Ben », poésie filmique autour d’un géant du jazz","https://www.mediapart.fr/studio/documentaires/international/big-ben-poesie-filmique-autour-d-un-geant-du-jazz"
"True","True","Au procès des attentats du 13-Novembre, l’accusation requiert perpétuité pour les morts et les vivants","https://www.mediapart.fr/journal/france/110622/au-proces-des-attentats-du-13-novembre-l-accusation-requiert-perpetuite-pour-les-morts-et-les-vivants"
"True","False","La fin d’un procès qui s’est voulu aussi « normal » que possible","https://www.mediapart.fr/journal/france/100622/attentats-du-13-novembre-la-fin-d-un-proces-qui-s-est-voulu-aussi-normal-que-possible"
"True","True","Pénurie de saisonniers : la réforme de l’assurance-chômage accroît le problème","https://www.mediapart.fr/journal/economie/100622/penurie-de-saisonniers-la-reforme-de-l-assurance-chomage-accroit-le-probleme"
"True","False","L’hôpital psychiatrique d’Évreux envoie le dialogue social en justice","https://www.mediapart.fr/journal/france/110622/l-hopital-psychiatrique-d-evreux-envoie-le-dialogue-social-en-justice"
"True","False","Un front très large d’économistes soutient le programme de la Nupes","https://www.mediapart.fr/journal/france/100622/un-front-tres-large-d-economistes-soutient-le-programme-de-la-nupes"
"True","True","Le chagrin et les chantiers","https://www.mediapart.fr/journal/culture-idees/110622/le-chagrin-et-les-chantiers"
"True","True","Olivier Faure : « Le PS n’est pas l’ami du grand capital, Mélenchon n’est pas l’ami des dictateurs »","https://www.mediapart.fr/journal/france/080622/olivier-faure-le-ps-n-est-pas-l-ami-du-grand-capital-melenchon-n-est-pas-l-ami-des-dictateurs"
"True","True","Trafic d’art : l’heure des comptes pour les États et les musées","https://www.mediapart.fr/journal/france/070622/trafic-d-art-l-heure-des-comptes-pour-les-etats-et-les-musees"
"True","True","« On invite tous les Français à entrer en résistance civile »","https://www.mediapart.fr/journal/france/070622/invite-tous-les-francais-entrer-en-resistance-civile"
"True","True","L’ébouriffante campagne de l’activiste Lumir Lapray","https://www.mediapart.fr/journal/france/100622/l-ebouriffante-campagne-de-l-activiste-lumir-lapray"
"True","False","Législatives : à Villeurbanne, l’Insoumis Gabriel Amard, parachuté chahuté","https://www.mediapart.fr/journal/france/100622/legislatives-villeurbanne-l-insoumis-gabriel-amard-parachute-chahute"
"True","False","À Limoges, la méthode Ruffin fait son chemin","https://www.mediapart.fr/journal/france/090622/limoges-la-methode-ruffin-fait-son-chemin"
"True","False","L’affaire Abad ne bouscule pas la campagne du ministre des solidarités","https://www.mediapart.fr/journal/france/100622/l-affaire-abad-ne-bouscule-pas-la-campagne-du-ministre-des-solidarites"
"True","False","À Paris, la campagne sur le fil de Stanislas Guerini","https://www.mediapart.fr/journal/france/100622/paris-la-campagne-sur-le-fil-de-stanislas-guerini"
"True","False","Manuel Bompard, en campagne dans les pas de Jean-Luc Mélenchon","https://www.mediapart.fr/journal/france/090622/manuel-bompard-en-campagne-dans-les-pas-de-jean-luc-melenchon"
"True","True","Ces socialistes qui refusent l’union, d’hier à aujourd’hui","https://www.mediapart.fr/journal/france/100622/ces-socialistes-qui-refusent-l-union-d-hier-aujourd-hui"
"True","False","Dans le Sud-Ouest, la socialiste Carole Delga en quête du strapontin fantôme de la « gauche modérée »","https://www.mediapart.fr/journal/france/080622/dans-le-sud-ouest-la-socialiste-carole-delga-en-quete-du-strapontin-fantome-de-la-gauche-moderee"
"True","False","Législatives : dans le Val-d’Oise, chacun cherche son candidat","https://www.mediapart.fr/journal/france/060622/legislatives-dans-le-val-d-oise-chacun-cherche-son-candidat"
"True","False","À Montpellier, une circonscription « fragmentée » par des dissidences tous azimuts","https://www.mediapart.fr/journal/france/060622/montpellier-une-circonscription-fragmentee-par-des-dissidences-tous-azimuts"
"True","True","« La France est empêtrée dans l’histoire coloniale »","https://www.mediapart.fr/journal/international/090622/haiti-la-france-est-empetree-dans-l-histoire-coloniale"
"True","False","L’histoire sombre des banques coloniales françaises ressurgit","https://www.mediapart.fr/journal/economie/090622/haiti-l-histoire-sombre-des-banques-coloniales-francaises-ressurgit"
"True","True","Stade de France : le préfet Lallement s’entête, malgré la colère froide de Liverpool","https://www.mediapart.fr/journal/france/090622/stade-de-france-le-prefet-lallement-s-entete-malgre-la-colere-froide-de-liverpool"
"True","False","« Violences policières » : ces deux mots que le PS ne veut plus prononcer","https://www.mediapart.fr/journal/france/090622/violences-policieres-ces-mots-que-le-ps-ne-veut-plus-prononcer"
"True","False","Refus d’obtempérer et passagère tuée : le conducteur mis en examen","https://www.mediapart.fr/journal/france/090622/refus-d-obtemperer-et-passagere-tuee-le-conducteur-de-la-voiture-ete-mis-en-examen"
"True","True","États-Unis : la menace sur l’IVG pèse beaucoup sur les femmes noires","https://www.mediapart.fr/journal/international/090622/etats-unis-la-menace-sur-l-ivg-pese-beaucoup-sur-les-femmes-noires"
"True","False","Sahara occidental : Alger sanctionne Madrid, Sánchez isolé en Espagne","https://www.mediapart.fr/journal/international/090622/sahara-occidental-alger-sanctionne-madrid-sanchez-isole-en-espagne"
"True","False","En Algérie, le journalisme continue de mener en prison","https://www.mediapart.fr/journal/international/080622/en-algerie-le-journalisme-continue-de-mener-en-prison"
"True","False","Au Royaume-Uni, Johnson sauve sa peau de justesse, son parti divisé","https://www.mediapart.fr/journal/international/070622/au-royaume-uni-johnson-sauve-sa-peau-de-justesse-son-parti-divise"
"True","False","Face à la violence des colons, des psys viennent en aide aux Palestiniens","https://www.mediapart.fr/journal/international/070622/face-la-violence-des-colons-des-psys-viennent-en-aide-aux-palestiniens"
"True","True","La France cède aux sirènes de la cryptomonnaie et accueille le sulfureux Binance à bras ouverts","https://www.mediapart.fr/journal/economie/100622/la-france-cede-aux-sirenes-de-la-cryptomonnaie-et-accueille-le-sulfureux-binance-bras-ouverts"
"True","False","En Occitanie, l’acquisition de deux fermes par l’armée sème le trouble sur l’avenir de terres agricoles","https://www.mediapart.fr/journal/france/080622/en-occitanie-l-acquisition-de-deux-fermes-par-l-armee-seme-le-trouble-sur-l-avenir-de-terres-agricoles"
"True","False","Au Parlement européen, l’offensive anti-climat du lobby industriel","https://www.mediapart.fr/journal/international/080622/au-parlement-europeen-l-offensive-anti-climat-du-lobby-industriel"
"True","False","Pêche durable : la France assume désobéir aux règles européennes","https://www.mediapart.fr/journal/international/080622/peche-durable-la-france-assume-desobeir-aux-regles-europeennes"
"True","True","Candidature de Gérald Dahan : le sketch continue","https://www.mediapart.fr/journal/france/080622/candidature-de-gerald-dahan-aux-legislatives-le-sketch-continue"
"True","False","Le député Simian s’en prend désormais à la préfecture de la Gironde","https://www.mediapart.fr/journal/france/080622/le-depute-simian-s-en-prend-desormais-la-prefecture-de-la-gironde"
"True","False","Un droit de réponse de Gérald Dahan","https://www.mediapart.fr/journal/france/090622/un-droit-de-reponse-de-gerald-dahan"
"True","False","Un député LREM ruine une collectivité rurale ? Il est réinvesti","https://www.mediapart.fr/journal/france/070622/un-depute-lrem-ruine-une-collectivite-rurale-il-est-reinvesti"
"True","True","Face à l’inflation, la majorité présidentielle cherche un récit convaincant","https://www.mediapart.fr/journal/economie/080622/face-l-inflation-la-majorite-presidentielle-cherche-un-recit-convaincant"
"True","False","Aide alimentaire : le chèque en bois du gouvernement","https://www.mediapart.fr/journal/france/080622/aide-alimentaire-le-cheque-en-bois-du-gouvernement"
"True","False","« Lorsque l’huile prend 30 % ou 40 %, les personnes les plus précaires souffrent »","https://www.mediapart.fr/journal/france/070622/lorsque-l-huile-prend-30-ou-40-les-personnes-les-plus-precaires-souffrent"
